arxiv_id,year_group,n_files,n_chars,n_words,n_citations,cit_per_100_words,alpha_ratio,file_paths,word_stratum
1609.05935,2015,1,1314,221,7,3.167420814479638,0.9716376944190301,data/txt/1609.05935/01_Relation_to_Prior_Work.txt,0
1804.07270,2015,1,1687,263,8,3.041825095057034,0.9798471160528145,data/txt/1804.07270/01_Related_work.txt,0
1804.09325,2015,1,1662,259,0,0.0,0.9060014461315979,data/txt/1804.09325/01_Related_work.txt,0
1805.01825,2015,1,1376,198,6,3.0303030303030303,0.9751499571550986,data/txt/1805.01825/01_Related_Work.txt,0
1901.00889,2015,1,1881,252,9,3.571428571428571,0.9761759315821625,data/txt/1901.00889/01_Related_Work.txt,0
1902.03833,2015,1,1707,267,4,1.4981273408239701,0.9771309771309772,data/txt/1902.03833/01_Related_works.txt,0
1903.02252,2015,1,1512,221,9,4.072398190045249,0.9715603382013835,data/txt/1903.02252/01_Related_Work.txt,0
1904.04555,2015,1,1617,252,16,6.349206349206349,0.9813753581661891,data/txt/1904.04555/01_Related_Work.txt,0
1909.10466,2015,1,1471,210,6,2.857142857142857,0.97639653815893,data/txt/1909.10466/01_Related_Work.txt,0
1910.07969,2015,1,1798,247,13,5.263157894736842,0.9702343255224826,data/txt/1910.07969/01_Related_Work.txt,0
1912.09009,2015,1,984,157,6,3.821656050955414,0.9809296781883194,data/txt/1912.09009/01_Related_Work.txt,0
2001.09415,2015,1,1665,248,7,2.82258064516129,0.9775280898876404,data/txt/2001.09415/01_Related_Works.txt,0
2002.03306,2015,1,977,150,3,2.0,0.9611650485436893,data/txt/2002.03306/01_Related_work_Flexible_automation_of_micro_and_meso-scale_manipulation.txt,0
2005.01399,2015,1,1715,239,13,5.439330543933055,0.9792780748663101,data/txt/2005.01399/01_Related_Works.txt,0
2006.14221,2015,1,1132,181,4,2.209944751381215,0.9365079365079365,data/txt/2006.14221/01_Related_Work.txt,0
2007.10529,2015,1,1200,167,4,2.3952095808383236,0.9789069990412272,data/txt/2007.10529/01_Related_Work.txt,0
2007.14390,2015,1,1824,269,8,2.973977695167286,0.9586513994910941,data/txt/2007.14390/01_Background_and_Related_Work.txt,0
2008.05823,2015,1,1758,261,8,3.065134099616858,0.9814814814814815,data/txt/2008.05823/01_Related_Works.txt,0
2009.05169,2015,1,1390,198,4,2.0202020202020203,0.9654008438818565,data/txt/2009.05169/01_Related_Works.txt,0
2009.09841,2015,1,1057,156,4,2.564102564102564,0.9636963696369637,data/txt/2009.09841/01_Related_Work.txt,0
2010.00827,2015,1,1262,185,10,5.405405405405405,0.9789569990850869,data/txt/2010.00827/01_Related_Work.txt,0
2010.02709,2015,1,1777,273,7,2.564102564102564,0.9696169088507266,data/txt/2010.02709/01_Related_work.txt,0
2010.07565,2015,1,1723,238,15,6.302521008403361,0.9779853235490327,data/txt/2010.07565/01_Related_Work.txt,0
2010.12794,2015,1,1393,212,4,1.8867924528301887,0.9813242784380306,data/txt/2010.12794/01_Related_Work.txt,0
2010.13063,2015,1,1103,181,2,1.1049723756906076,0.9708108108108108,data/txt/2010.13063/01_RELATION_TO_PRIOR_WORK.txt,0
2010.16115,2015,1,1945,279,7,2.5089605734767026,0.9618366129994037,data/txt/2010.16115/01_Conclusion_Related_Work.txt,0
2011.02678,2015,1,1594,249,2,0.8032128514056224,0.8769692423105776,data/txt/2011.02678/01_Prior_Work.txt,0
2011.06825,2015,1,2188,268,9,3.3582089552238807,0.8533627342888643,data/txt/2011.06825/01_Literature_Review.txt,0
2012.02218,2015,1,1197,183,4,2.185792349726776,0.9577187807276303,data/txt/2012.02218/01_Literature_Review.txt,0
2101.06744,2015,1,1263,190,5,2.631578947368421,0.9525581395348838,data/txt/2101.06744/01_Related_Work.txt,0
2101.10759,2015,1,1894,274,14,5.109489051094891,0.9677811550151976,data/txt/2101.10759/01_Related_Work.txt,0
2101.10774,2015,1,1482,216,12,5.555555555555555,0.9751937984496124,data/txt/2101.10774/01_Related_Work.txt,0
2101.11306,2015,1,1812,258,3,1.1627906976744187,0.9654272667971298,data/txt/2101.11306/01_Related_work.txt,0
2101.11490,2015,1,1354,232,10,4.310344827586207,0.8942390369733448,data/txt/2101.11490/01_Previous_Work.txt,0
2102.01733,2015,1,1673,242,17,7.024793388429752,0.9808873720136518,data/txt/2102.01733/01_Related_Work.txt,0
2102.05126,2015,1,1818,255,19,7.450980392156863,0.96045197740113,data/txt/2102.05126/01_Related_Work.txt,0
2102.05606,2015,1,2176,274,11,4.014598540145985,0.9654992158912703,data/txt/2102.05606/01_Related_Work.txt,0
